02201911114999País Vasco                                        02199088026690179255001792554000000000000000000690055009893430000662400006687011774110000180000000000000000S
02201911118999Ciudad de Ceuta                                   00085144000960006251300062513000000000000000000016313000261830000032400000351000330710000010000000000000000S
02201911119999Ciudad de Melilla                                 00086384000870005949600059497000000000000000000013361000211640000018500000240000307470000010000000000000000S
02201911116999La Rioja                                          00315675004970025021300250213000000000000000000094485001342830000175700002615001631770000040000000000000000S
02201911104999Illes Balears                                     01128908012150080716400807170000000000000000000241085003692080000466800004393004495310000080000000000000000S
02201911110999Extremadura                                       01072863014110089941900899439000000000000000000323976004742450000549300011145005879230000100000000000000000S
02201911111999Galicia                                           02701743039540269869202698698000000000000000000714980011912500001620900019259014718980000230000000000000000S
02201911101999Andalucía                                         08384408101280657935706579380000000000000000002266348034710350005067200065040042210120000610000000000000000S
02201911112999Comunidad de Madrid                               06578079075640508809005088093000000000000000001956247029357380002878300028317035343640000370000000000000000S
02201911103999Principado de Asturias                            01028244015410097257900972580000000000000000000293862004567860000704100005486005527040000070000000000000000S
02201911117999Comunitat Valenciana                              04963703060430366761503667628000000000000000001511373021325160001981400023504025166290000320000000000000000S
02201911102999Aragón                                            01308728021670101975701019762000000000000000000404829005690450000675500006080006942560000130000000000000000S
02201911106999Cantabria                                         00580229007410050167200501676000000000000000000180988002742800000166700002732003254220000050000000000000000S
02201911107999Castilla - La Mancha                              02026807030570157332801573345000000000000000000586311008845670000899000014694010786550000210000000000000000S
02201911113999Comunidad Foral de Navarra                        00647554009760051282500512826000000000000000000190979002737980000345100003014003315310000050000000000000000S
02201911105999Canarias                                          02127685028180172685901726866000000000000000000427453007003060000735500009869009401520000150000000000000000S
02201911109999Cataluña                                          07600065083650561540105615420000000000000000002179435032156320002701900020742038492130000480000000000000000S
02201911115999Región de Murcia                                  01478509016850106184001061841000000000000000000401193005953220000525300007418007096740000100000000000000000S
02201911108999Castilla y León                                   02409164045410211186502111878000000000000000000729370011091420001516700017901013736310000310000000000000000S
